,pdf_url,save_path
0,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-A.pdf,../cgbse/123456789_sbchhattisgarh_988733?e=9|*|||.pdf
1,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-B.PDF,../cgbse/123456789_sbchhattisgarh_988734?e=10|*|||.pdf
2,https://cgbse.nic.in/QuestionPaper/Hr2020/204-804-C.PDF,../cgbse/123456789_sbchhattisgarh_988735?e=11|*|||.pdf
3,https://cgbse.nic.in/QuestionPaper/Hr2020/410-A.pdf,../cgbse/123456789_sbchhattisgarh_988745?e=12|*|||.pdf
4,https://cgbse.nic.in/QuestionPaper/Hr2020/410-B.PDF,../cgbse/123456789_sbchhattisgarh_988746?e=13|*|||.pdf
5,https://cgbse.nic.in/QuestionPaper/Hr2020/410-C.PDF,../cgbse/123456789_sbchhattisgarh_988747?e=14|*|||.pdf
6,https://cgbse.nic.in/Documents/2021/assignment/10th/Feb-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988780?e=15|*|||.pdf
7,https://cgbse.nic.in/Documents/2021/assignment/10th/Jan-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988785?e=16|*|||.pdf
8,https://cgbse.nic.in/Documents/2020/assignment/10th/Dec-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988790?e=17|*|||.pdf
9,https://cgbse.nic.in/Documents/2020/assignment/10th/Nov-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988795?e=18|*|||.pdf
10,https://cgbse.nic.in/Documents/2020/assignment/10th/Oct-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988800?e=19|*|||.pdf
11,https://cgbse.nic.in/Documents/2020/assignment/10th/Sep-Mat.pdf,../cgbse/123456789_sbchhattisgarh_988805?e=0|*|||.pdf
12,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Feb.pdf,../cgbse/123456789_sbchhattisgarh_988815?e=1|*|||.pdf
13,https://cgbse.nic.in/Documents/2021/assignment/12th/Maths_12th_Jan.pdf,../cgbse/123456789_sbchhattisgarh_988829?e=2|*|||.pdf
14,https://cgbse.nic.in/Documents/2020/assignment/12th/Maths_12th_Dec.pdf,../cgbse/123456789_sbchhattisgarh_988843?e=3|*|||.pdf
